schid,nttkreadsch,nttkreaddist,nttkreadstate,nttkmathschool,nttkmathdist,nttkmathstate,nttkscischool,nttkscidist,nttkscistate
010010010260001,1.0,0.4,0.6,1.0,0.4,0.5,1.7,1.0,0.7
010010010262002,0.0,0.4,0.6,0.0,0.4,0.5,0.0,1.0,0.7
010010020260001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
010010020262002,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
010010030260001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
010010030261001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
010010030262003,,0.0,0.6,,0.0,0.5,,0.0,0.7
010010030262008,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
010010040260001,0.0,0.8,0.6,0.0,0.8,0.5,0.0,0.0,0.7
010010040261001,0.8,0.8,0.6,0.8,0.8,0.5,0.0,0.0,0.7
010010040262004,1.1,0.8,0.6,1.1,0.8,0.5,0.0,0.0,0.7
010010040262006,,,,,,,,,
010011720220003,0.7,0.9,0.6,0.7,0.9,0.5,0.7,2.0,0.7
010011720221003,1.4,0.9,0.6,1.4,0.9,0.5,2.9,2.0,0.7
010011720222004,0.0,0.9,0.6,0.0,0.9,0.5,,,
010011720222006,0.0,0.9,0.6,0.0,0.9,0.5,,,
010011720222007,0.0,0.9,0.6,0.0,0.9,0.5,,,
010011720222008,1.9,0.9,0.6,1.9,0.9,0.5,,2.0,0.7
010011720222009,0.0,0.9,0.6,0.0,0.9,0.5,,,
010011720222016,0.0,0.9,0.6,0.0,0.9,0.5,,,
010011720222017,2.6,0.9,0.6,2.6,0.9,0.5,,,
010011720222019,0.9,0.9,0.6,0.8,0.9,0.5,2.2,2.0,0.7
010750030260002,0.0,0.7,0.6,0.0,0.7,0.5,0.0,1.8,0.7
010750030262001,0.9,0.7,0.6,0.9,0.7,0.5,3.1,1.8,0.7
010750040260002,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
010750040261002,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
010750040262001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
010750100260009,0.0,0.2,0.6,0.0,0.2,0.5,0.0,0.0,0.7
010750100262007,,,,,,,,,
010750100262010,0.2,0.2,0.6,0.2,0.2,0.5,0.0,0.0,0.7
010750120260001,2.6,2.2,0.6,2.6,1.9,0.5,2.6,1.5,0.7
010750120261001,2.7,2.2,0.6,2.7,1.9,0.5,1.9,1.5,0.7
010750120262001,1.5,2.2,0.6,0.8,1.9,0.5,0.0,1.5,0.7
020020010220001,1.6,0.9,0.6,1.6,0.9,0.5,1.8,1.1,0.7
020020010222004,0.0,0.9,0.6,0.0,0.9,0.5,0.0,1.1,0.7
020020050260001,0.0,0.0,0.6,0.0,0.4,0.5,0.0,0.0,0.7
020020050261001,0.0,0.0,0.6,1.0,0.4,0.5,0.0,0.0,0.7
020020050262002,0.0,0.0,0.6,0.0,0.4,0.5,0.0,0.0,0.7
020440010260001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
020440010262001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
020440320032003,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
020440430032001,0.0,0.0,0.6,0.0,0.0,0.5,,,0.7
020440550022001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
020440640022001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
020441330170001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
020610010260001,0.0,1.6,0.6,0.0,1.6,0.5,0.0,1.3,0.7
020610010261001,1.6,1.6,0.6,1.6,1.6,0.5,1.9,1.3,0.7
020610010262001,7.4,1.6,0.6,7.4,1.6,0.5,5.3,1.3,0.7
020610010262002,0.9,1.6,0.6,0.9,1.6,0.5,4.0,1.3,0.7
020610010262003,0.3,1.6,0.6,0.3,1.6,0.5,0.0,1.3,0.7
020610010262006,3.6,1.6,0.6,3.6,1.6,0.5,4.2,1.3,0.7
020610010262010,1.0,1.6,0.6,1.0,1.6,0.5,0.0,1.3,0.7
020610380260001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
020610380262001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
020771000260001,0.8,0.5,0.6,0.8,0.5,0.5,0.0,0.0,0.7
020771000262004,0.0,0.5,0.6,0.0,0.5,0.5,0.0,0.0,0.7
020771010260001,1.7,1.0,0.6,1.7,1.0,0.5,2.4,1.6,0.7
020771010262005,0.6,1.0,0.6,0.6,1.0,0.5,0.0,1.6,0.7
020910160042001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
020910170220001,2.7,0.3,0.6,2.7,0.3,0.5,2.7,0.8,0.7
020910170221001,0.0,0.3,0.6,0.0,0.3,0.5,0.0,0.8,0.7
020910170222002,0.0,0.3,0.6,0.0,0.3,0.5,0.0,0.8,0.7
020910370041001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
020910370042002,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
020910370042003,,,,,,,,,
020910430042001,0.8,0.8,0.6,0.8,0.8,0.5,1.0,1.0,0.7
020910660220001,0.0,1.4,0.6,0.0,1.4,0.5,0.0,1.6,0.7
020910660221001,0.0,1.4,0.6,0.0,1.4,0.5,0.0,1.6,0.7
020910660222001,2.3,1.4,0.6,2.3,1.4,0.5,3.8,1.6,0.7
020910810160001,1.8,1.8,0.6,1.8,1.8,0.5,1.8,1.8,0.7
020910840260001,4.8,0.5,0.6,4.8,0.5,0.5,4.8,2.6,0.7
020910840261002,0.0,0.5,0.6,0.0,0.5,0.5,0.0,2.6,0.7
020910840262004,0.0,0.5,0.6,0.0,0.5,0.5,0.0,2.6,0.7
020910840262005,0.0,0.5,0.6,0.0,0.5,0.5,5.6,2.6,0.7
030030010260001,2.4,0.9,0.6,2.4,0.9,0.5,2.4,0.9,0.7
030030010261001,0.0,0.9,0.6,0.0,0.9,0.5,0.0,0.9,0.7
030030010262001,1.0,0.9,0.6,1.0,0.9,0.5,0.0,0.9,0.7
030030020260001,0.0,0.3,0.6,0.0,0.3,0.5,0.0,0.0,0.7
030030020261002,0.0,0.3,0.6,0.0,0.3,0.5,0.0,0.0,0.7
030030020262003,0.0,0.3,0.6,0.0,0.3,0.5,0.0,0.0,0.7
030030020262004,1.4,0.3,0.6,1.4,0.3,0.5,0.0,0.0,0.7
030030020262005,0.9,0.3,0.6,0.9,0.3,0.5,0.0,0.0,0.7
030250100260001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
030250100262002,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
030250200260001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
030250200262003,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
030250300260001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
030250300262002,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
030250400260001,0.0,0.4,0.6,0.0,0.4,0.5,0.0,0.7,0.7
030250400261001,0.9,0.4,0.6,0.9,0.4,0.5,2.2,0.7,0.7
030250400262002,0.0,0.4,0.6,0.0,0.4,0.5,0.0,0.7,0.7
030250400262004,0.0,0.4,0.6,0.0,0.4,0.5,,0.7,0.7
030250400262006,,,,,,,,,
030250400262008,,,,,,,,,
030250500260001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
030250500261001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
030250500262002,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
030262010260003,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
030262010261001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
030262010262001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
030262020260002,0.0,1.2,0.6,0.0,1.2,0.5,0.0,0.0,0.7
030262020261001,0.0,1.2,0.6,0.0,1.2,0.5,0.0,0.0,0.7
030262020262001,2.2,1.2,0.6,2.2,1.2,0.5,0.0,0.0,0.7
030262030260001,2.5,0.5,0.6,2.5,0.5,0.5,2.5,1.2,0.7
030262030261002,0.2,0.5,0.6,0.2,0.5,0.5,0.8,1.2,0.7
030262030262004,,,,,,,,,
030262030262008,0.0,0.5,0.6,0.0,0.5,0.5,0.0,1.2,0.7
030262040260002,5.0,0.8,0.6,5.0,0.8,0.5,5.0,1.9,0.7
030262040262001,0.0,0.8,0.6,0.0,0.8,0.5,0.0,1.9,0.7
040041000260001,1.5,0.4,0.6,1.5,0.4,0.5,1.5,0.8,0.7
040041000260002,1.4,0.4,0.6,1.4,0.4,0.5,1.4,0.8,0.7
040041000261002,0.3,0.4,0.6,0.2,0.4,0.5,1.0,0.8,0.7
040041000261003,0.1,0.4,0.6,0.1,0.4,0.5,0.0,0.8,0.7
040041000262003,0.0,0.4,0.6,0.0,0.4,0.5,0.0,0.8,0.7
040041000262005,0.4,0.4,0.6,0.4,0.4,0.5,0.0,0.8,0.7
040041000262007,0.7,0.4,0.6,0.7,0.4,0.5,0.0,0.8,0.7
040041000262008,0.2,0.4,0.6,0.2,0.4,0.5,0.6,0.8,0.7
040041000262009,0.0,0.4,0.6,0.0,0.4,0.5,0.0,0.8,0.7
040041000262010,0.3,0.4,0.6,0.3,0.4,0.5,0.9,0.8,0.7
040042000260003,0.8,0.6,0.6,0.8,0.7,0.5,0.8,0.9,0.7
040042000261001,0.4,0.6,0.6,0.4,0.7,0.5,0.8,0.9,0.7
040042000262001,1.7,0.6,0.6,1.7,0.7,0.5,3.2,0.9,0.7
040042000262002,0.0,0.6,0.6,0.0,0.7,0.5,0.0,0.9,0.7
040042000262004,0.8,0.6,0.6,0.8,0.7,0.5,0.0,0.9,0.7
040042000262005,0.4,0.6,0.6,0.9,0.7,0.5,,,
041011220220002,3.4,0.6,0.6,3.4,0.6,0.5,3.2,1.3,0.7
041011220221005,0.2,0.6,0.6,0.2,0.6,0.5,0.5,1.3,0.7
041011220222005,0.5,0.6,0.6,0.5,0.6,0.5,1.9,1.3,0.7
041011220222006,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.3,0.7
041011220222007,0.0,0.6,0.6,0.0,0.6,0.5,,,
041011220222008,0.0,0.6,0.6,0.0,0.6,0.5,2.0,1.3,0.7
041011220222010,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.3,0.7
041011220222011,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.3,0.7
041011220222013,0.5,0.6,0.6,0.5,0.6,0.5,0.0,1.3,0.7
041011220222014,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.3,0.7
041011220222015,,,,,,,,,
041011310041002,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.2,0.7
041011310042001,0.2,0.1,0.6,0.2,0.1,0.5,0.5,0.2,0.7
041011310042002,,,,,,,,,
