schid,grades2015,percmin2015,enroll2015,enrolldist2015,lowinc2015,act2015school,actscore2015district,actscore2015state
010010010260001,7 8 9 10 11 12,2.4,206,517,39.3,18.4,18.4,20.5
010010010262002,PK K 1 2 3 4 5 6,4.5,311,517,54.7,,18.4,20.5
010010020260001,7 8 9 10 11 12,1.7,296,653,34.1,20.6,20.6,20.5
010010020262002,PK K 1 2 3 4 5 6,4.5,357,653,37.8,,20.6,20.5
010010030260001,9 10 11 12,3.9,283,862,47.3,19.6,19.6,20.5
010010030261001,5 6 7 8,3.7,242,862,52.1,,19.6,20.5
010010030262003,PK K 1 2,2.1,191,862,50.8,,19.6,20.5
010010030262008,3 4,2.7,146,862,52.7,,19.6,20.5
010010040260001,9 10 11 12,2.2,232,677,25.9,19.4,19.4,20.5
010010040261001,5 6 7 8,1.4,215,677,34.9,,19.4,20.5
010010040262004,2 3 4,2.1,144,677,42.4,,19.4,20.5
010010040262006,K 1,4.7,86,677,39.5,,19.4,20.5
010011720220003,10 11 12,15.8,"1,417","6,868",48.1,19.5,19.5,20.5
010011720221003,7 8 9,16.6,"1,431","6,868",56.4,,19.5,20.5
010011720222004,K 1 2 3,16.9,356,"6,868",77.5,,19.5,20.5
010011720222006,K 1 2 3,15.3,255,"6,868",74.1,,19.5,20.5
010011720222007,K 1 2 3,17.2,326,"6,868",50.3,,19.5,20.5
010011720222008,K 1 2 3,25.0,192,"6,868",89.6,,19.5,20.5
010011720222009,K 1 2 3,19.6,398,"6,868",50.8,,19.5,20.5
010011720222016,K 1 2 3,10.5,256,"6,868",38.7,,19.5,20.5
010011720222017,K 1 2 3,39.3,275,"6,868",96.4,,19.5,20.5
010011720222019,4 5 6,18.8,"1,460","6,868",63.1,,19.5,20.5
010050010260001,9 10 11 12,2.7,221,779,36.2,20.6,20.6,20.5
010050010261002,5 6 7 8,5.4,203,779,47.8,,20.6,20.5
010050010262002,PK K 1 2 3 4,5.4,355,779,55.5,,20.6,20.5
010090150260007,5 6 7 8 9 10 11 12,55.5,848,"1,582",74.1,17.7,17.2,20.5
01009015026001C,9 10 11 12,40.7,27,"1,582",77.8,14.8,17.2,20.5
010090150262003,K 1 2 3 4,65.2,551,"1,582",84.0,,17.2,20.5
010090640260003,9 10 11 12,6.0,83,297,51.8,19.6,19.6,20.5
010090640261001,6 7 8,4.0,50,297,46.0,,19.6,20.5
010090640262001,PK K 1 2 3 4 5,4.3,164,297,62.8,,19.6,20.5
010092620260002,9 10 11 12,9.0,134,471,44.0,20.0,20.0,20.5
010092620261002,5 6 7 8,3.5,142,471,47.9,,20.0,20.5
010092620262001,PK K 1 2 3 4,6.7,195,471,50.3,,20.0,20.5
010690010260001,6 7 8 9 10 11 12,4.5,155,309,45.2,18.5,18.5,20.5
010690010262004,2 3 4 5,3.4,87,309,40.2,,18.5,20.5
010690010262005,PK K 1,4.5,67,309,29.9,,18.5,20.5
010690060260001,9 10 11 12,0.0,109,387,33.9,18.8,18.8,20.5
010690060262002,PK K 1 2 3 4 5 6 7 8,2.2,278,387,38.5,,18.8,20.5
010690110260001,9 10 11 12,0.0,71,244,52.1,18.4,18.4,20.5
010690110261001,6 7 8,1.9,54,244,64.8,,18.4,20.5
010690110262003,PK K 1 2 3 4 5,6.7,119,244,72.3,,18.4,20.5
010690270260001,7 8 9 10 11 12,4.7,170,390,31.2,20.0,20.0,20.5
010690270262002,PK K 1 2 3 4 5 6,3.6,220,390,41.4,,20.0,20.5
