schid,value,lowinc2015,act2015school,schoolTYPE
150162990250846,"Community Services West High Sch, Chicago",80,13.7,HIGH SCHOOL
150162990250862,"Chicago Excel Academy HS, Chicago",94.6,13.9,HIGH SCHOOL
150162990250798,"Dyett High School, Chicago",94.3,13.9,HIGH SCHOOL
150162990250840,"Austin Polytechnical Academy HS, Chicago",98.1,14,HIGH SCHOOL
15016299025017C,"Prologue - Johnston Fine Arts HS, Chicago",97.1,14.1,CHARTER HIGH SCH
150162990250766,"Robeson High School, Chicago",97.9,14.2,HIGH SCHOOL
150162990250017,"Harper High School, Chicago",98,14.3,HIGH SCHOOL
150162990250012,"Fenger Academy High School, Chicago",97,14.4,HIGH SCHOOL
150162990250841,"Collins Academy High School, Chicago",98.5,14.4,HIGH SCHOOL
150162990250019,"Hirsch Metropolitan High School, Chicago",96.4,14.4,HIGH SCHOOL
150162990250616,"Manley Career Academy High School, Chicago",93,14.5,HIGH SCHOOL
510841860250004,"Springfield Learning Academy, Springfield",80.2,14.5,HIGH SCHOOL
500821880220001,"Lovejoy Technology Academy, Lovejoy",100,14.6,HIGH SCHOOL
150162990250044,"Tilden Career Communty Academy HS, Chicago",96.7,14.6,HIGH SCHOOL
150162990250839,"Austin Bus & Entrepreneurship HS, Chicago",98.7,14.6,HIGH SCHOOL
150162990250008,"Crane Technical Prep High School, Chicago",93.7,14.6,HIGH SCHOOL
15016299025004C,"Youth Connections Charter HS, Chicago",97.1,14.7,CHARTER SCH
300020010220001,"Cairo Jr/Sr High School, Cairo",100,14.7,HIGH SCHOOL
150162990250831,"Douglass Academy High School, Chicago",95.8,14.7,HIGH SCHOOL
150162990250029,"Marshall Metropolitan High School, Chicago",91.3,14.7,HIGH SCHOOL
01009015026001C,"Beardstown Charter Sch Learn Acad, Beardstown",77.8,14.8,CHARTER HIGH SCH
150162990250526,"Chicago Vocational Career Acad HS, Chicago",96.8,14.8,HIGH SCHOOL
150162990250536,"Richards Career Academy HS, Chicago",98.6,14.8,HIGH SCHOOL
150162990250543,"Corliss High School, Chicago",94.6,14.8,HIGH SCHOOL
150162990250847,"Orr Academy High School, Chicago",95.8,14.8,HIGH SCHOOL
150162990250531,"Dunbar Vocational Career Acad HS, Chicago",99.1,14.9,HIGH SCHOOL
150162990250799,"Hope College Prep High School, Chicago",98.2,14.9,HIGH SCHOOL
150162990250826,"Raby High School, Chicago",98.9,14.9,HIGH SCHOOL
150162990250843,"Team Englewood Comm Acad HS, Chicago",95.8,15,HIGH SCHOOL
150162990250545,"Clemente Community Academy HS, Chicago",96,15,HIGH SCHOOL
150162990250034,"Phillips Academy High School, Chicago",95.4,15,HIGH SCHOOL
150162990250763,"Julian High School, Chicago",95.3,15.2,HIGH SCHOOL
150162990250824,"Bowen High School, Chicago",96.3,15.2,HIGH SCHOOL
17064005026001C,"YBMC Charter Sch, Normal",68.6,15.3,CHARTER HIGH SCH
150162990250836,"Multicultural Acad of Scholarshp HS, Chicago",98.1,15.3,HIGH SCHOOL
150162990250015,"Gage Park High School, Chicago",97.9,15.3,HIGH SCHOOL
15016299025009C,"Ace Technical Charter High School, Chicago",97.7,15.4,CHARTER HIGH SCH
150162990250844,"Voise Academy High School, Chicago",98.4,15.4,HIGH SCHOOL
150162990250021,"Hyde Park Academy High School, Chicago",97,15.4,HIGH SCHOOL
500821890220043,"East St Louis Senior High School, East Saint Louis",99,15.4,HIGH SCHOOL
480721500250023,"Manual Academy, Peoria",83.6,15.5,HIGH SCHOOL
150162990250035,"Roosevelt High School, Chicago",96.5,15.7,HIGH SCHOOL
150162990250049,"Wells Community Academy HS, Chicago",94.8,15.7,HIGH SCHOOL
150162990250016,"Harlan Community Academy HS, Chicago",93.9,15.7,HIGH SCHOOL
150162990250003,"Bogan High School, Chicago",92.4,15.7,HIGH SCHOOL
150162990250042,"Sullivan High School, Chicago",94.8,15.8,HIGH SCHOOL
500821870260011,"Cahokia High School, Cahokia",92.5,15.9,HIGH SCHOOL
150162990250023,"Kelvyn Park High School, Chicago",95.7,15.9,HIGH SCHOOL
150162990250011,"Farragut Career Academy HS, Chicago",98.8,15.9,HIGH SCHOOL
410570120260001,"Madison Senior High School, Madison",98.8,15.9,HIGH SCHOOL
340491870260001,"North Chicago Community High Sch, North Chicago",83.4,15.9,HIGH SCHOOL
50082189022001C,"SIU Charter Sch of East St Louis, East Saint Louis",99.1,16,CHARTER HIGH SCH
060162090170001,"Proviso East High School, Maywood",83.2,16,HIGH SCHOOL
030262010260003,"Brownstown High School, Brownstown",49.5,16.1,HIGH SCHOOL
150162990250013,"Foreman High School, Chicago",96.2,16.1,HIGH SCHOOL
480721500250024,"Peoria High School, Peoria",77.5,16.1,HIGH SCHOOL
150162990250860,"South Shore Intl Col Prep HS, Chicago",88.8,16.2,HIGH SCHOOL
150162990250850,"Chicago Technology Academy HS, Chicago",93.6,16.2,HIGH SCHOOL
300020050260001,"Egyptian Sr High School, Tamms",100,16.2,HIGH SCHOOL
300771010260001,"Meridian High School, Mounds",100,16.3,HIGH SCHOOL
150162990250036,"Schurz High School, Chicago",93.5,16.4,HIGH SCHOOL
060162010170001,"J Sterling Morton East High Sch, Cicero",93.8,16.4,HIGH SCHOOL
070162050170001,"Thornton Township High School, Harvey",87.8,16.5,HIGH SCHOOL
070162050170003,"Thornwood High School, South Holland",82,16.5,HIGH SCHOOL
070162280160003,"Hillcrest High School, Country Club Hills",62.7,16.5,HIGH SCHOOL
150162990250834,"Bronzeville Scholastic HS, Chicago",95.6,16.5,HIGH SCHOOL
15016299025010C,"Urban Prep Chtr Acad Englewood HS, Chicago",82.4,16.6,CHARTER HIGH SCH
15016299025015C,"EPIC Academy High School, Chicago",96.2,16.6,CHARTER HIGH SCH
070162050170002,"Thornridge High School, Dolton",85.1,16.6,HIGH SCHOOL
150162990250767,"Juarez Community Academy HS, Chicago",96.6,16.6,HIGH SCHOOL
150162990250827,"Clark Acad Prep Magnet High Schl, Chicago",98.4,16.6,HIGH SCHOOL
150162990250835,"School of Social Justice HS, Chicago",97.5,16.6,HIGH SCHOOL
150162990250825,"North-Grand High School, Chicago",97.8,16.6,HIGH SCHOOL
070162060170001,"Bloom High School, Chicago Heights",90.6,16.7,HIGH SCHOOL
010860020260001,"Bluffs High School, Bluffs",49.3,16.7,HIGH SCHOOL
15016299025007C,"Young Womens Leadership Chartr HS, Chicago",91.4,16.8,CHARTER HIGH SCH
150162990250041,"Steinmetz College Prep HS, Chicago",93,16.8,HIGH SCHOOL
150162990250022,"Kelly High School, Chicago",96.9,16.8,HIGH SCHOOL
150162990250830,"World Language High School, Chicago",99.7,16.8,HIGH SCHOOL
15016299025011C,"Ford Power House Charter HS, Chicago",98.9,16.9,CHARTER HIGH SCH
15016299025016C,"Urban Prep Chtr Acad West Campus HS, Chicago",90.3,16.9,CHARTER HIGH SCH
150162990250829,"Uplift Community High School, Chicago",95.6,16.9,HIGH SCHOOL
150162990250048,"Washington G High School, Chicago",92.8,16.9,HIGH SCHOOL
030110040260002,"Edinburg High School, Edinburg",40.5,16.9,HIGH SCHOOL
540920040260004,"Georgetown-Ridge Farm High School, Georgetown",50.5,16.9,HIGH SCHOOL
070162150170001,"Thornton Fractnl No High School, Calumet City",74.6,16.9,HIGH SCHOOL
150162990250818,"Spry Community Links High School, Chicago",98.3,17,HIGH SCHOOL
150162990250001,"Amundsen High School, Chicago",92.8,17,HIGH SCHOOL
150162990250859,"Solorio Academy High School, Chicago",97.1,17,HIGH SCHOOL
150162990250030,"Mather High School, Chicago",90.2,17,HIGH SCHOOL
060162090170002,"Proviso West High School, Hillside",52.4,17,HIGH SCHOOL
310451310220001,"East High School, Aurora",76.2,17.1,HIGH SCHOOL
150162990250537,"Simeon Career Academy High School, Chicago",93.1,17.1,HIGH SCHOOL
280061030220001,"DePue High School, DePue",93.8,17.1,HIGH SCHOOL
320461110250014,"Kankakee High School, Kankakee",79.4,17.2,HIGH SCHOOL
070162270170003,"Rich South Campus High School, Richton Park",81.9,17.2,HIGH SCHOOL
041012050250004,"Jefferson High School, Rockford",87.4,17.2,HIGH SCHOOL
030110140240001,"South Fork Jr Sr High School, Kincaid",57.6,17.2,HIGH SCHOOL
