schid,me2015school,me2015district,me2015state,me2015schDNY,me2015schPART,me2015schAPP,me2015schMET,me2015schEXC,me2015distDNY,me2015distPART,me2015distAPP,me2015distMET,me2015distEXC,me2015stateDNY,me2015statePART,me2015stateAPP,me2015stateMET,me2015stateEXC
010010010260001,25.6,33.0,33.0,24.8,20.0,29.6,20.0,5.6,15.0,21.9,30.2,30.2,2.9,14.4,24.2,28.4,28.6,4.4
010010010262002,36.1,33.0,33.0,10.8,22.6,30.4,34.5,1.7,15.0,21.9,30.2,30.2,2.9,14.4,24.2,28.4,28.6,4.4
010010020260001,30.9,31.5,33.0,9.7,18.8,40.6,28.8,2.1,9.0,21.9,37.6,28.6,2.9,14.4,24.2,28.4,28.6,4.4
010010020262002,32.0,31.5,33.0,8.5,24.3,35.2,28.4,3.6,9.0,21.9,37.6,28.6,2.9,14.4,24.2,28.4,28.6,4.4
010010030260001,11.0,22.6,33.0,39.7,24.0,25.3,11.0,0.0,19.3,25.6,32.5,21.7,0.9,14.4,24.2,28.4,28.6,4.4
010010030261001,25.0,22.6,33.0,18.0,22.4,34.5,24.1,0.9,19.3,25.6,32.5,21.7,0.9,14.4,24.2,28.4,28.6,4.4
010010030262003,,22.6,33.0,,,,,,19.3,25.6,32.5,21.7,0.9,14.4,24.2,28.4,28.6,4.4
010010030262008,24.0,22.6,33.0,11.3,32.2,32.5,22.6,1.4,19.3,25.6,32.5,21.7,0.9,14.4,24.2,28.4,28.6,4.4
010010040260001,30.2,16.1,33.0,7.9,23.8,38.1,28.6,1.6,28.7,31.5,23.7,15.3,0.8,14.4,24.2,28.4,28.6,4.4
010010040261001,10.3,16.1,33.0,34.3,36.1,19.3,10.0,0.3,28.7,31.5,23.7,15.3,0.8,14.4,24.2,28.4,28.6,4.4
010010040262004,24.0,16.1,33.0,23.5,24.0,28.5,22.3,1.7,28.7,31.5,23.7,15.3,0.8,14.4,24.2,28.4,28.6,4.4
010010040262006,,,,,,,,,,,,,,,,,,
010011720220003,23.2,27.0,33.0,28.1,28.4,20.2,18.2,5.1,19.4,25.6,28.0,24.1,2.9,14.4,24.2,28.4,28.6,4.4
010011720221003,28.8,27.0,33.0,19.5,24.0,27.7,25.4,3.4,19.4,25.6,28.0,24.1,2.9,14.4,24.2,28.4,28.6,4.4
010011720222004,15.0,27.0,33.0,23.1,32.5,29.4,14.4,0.6,19.4,25.6,28.0,24.1,2.9,14.4,24.2,28.4,28.6,4.4
010011720222006,19.4,27.0,33.0,23.1,31.5,25.9,19.4,0.0,19.4,25.6,28.0,24.1,2.9,14.4,24.2,28.4,28.6,4.4
010011720222007,35.4,27.0,33.0,15.0,17.7,32.0,32.7,2.7,19.4,25.6,28.0,24.1,2.9,14.4,24.2,28.4,28.6,4.4
010011720222008,14.4,27.0,33.0,23.1,30.8,31.7,14.4,0.0,19.4,25.6,28.0,24.1,2.9,14.4,24.2,28.4,28.6,4.4
010011720222009,32.2,27.0,33.0,25.7,19.2,22.9,28.0,4.2,19.4,25.6,28.0,24.1,2.9,14.4,24.2,28.4,28.6,4.4
010011720222016,27.4,27.0,33.0,17.7,17.7,37.1,27.4,0.0,19.4,25.6,28.0,24.1,2.9,14.4,24.2,28.4,28.6,4.4
010011720222017,14.4,27.0,33.0,30.3,28.8,26.5,13.6,0.8,19.4,25.6,28.0,24.1,2.9,14.4,24.2,28.4,28.6,4.4
010011720222019,27.9,27.0,33.0,15.9,26.4,29.8,25.3,2.6,19.4,25.6,28.0,24.1,2.9,14.4,24.2,28.4,28.6,4.4
010050010260001,11.5,21.4,33.0,12.8,42.3,33.3,10.3,1.3,10.9,28.6,39.0,20.8,0.6,14.4,24.2,28.4,28.6,4.4
010050010261002,22.2,21.4,33.0,11.9,26.4,39.5,22.0,0.3,10.9,28.6,39.0,20.8,0.6,14.4,24.2,28.4,28.6,4.4
010050010262002,23.8,21.4,33.0,8.4,27.7,40.1,22.8,1.0,10.9,28.6,39.0,20.8,0.6,14.4,24.2,28.4,28.6,4.4
