schid,nttkreadsch,nttkreaddist,nttkreadstate,nttkmathsch,nttkmathdist,nttkmathstate,tkreadsch,tkmathsch,tkreaddist,tkmathdist,tkreadstate,tkmathstate
010010010260001,36.7,16.3,4.4,35.7,15.9,4.4,63.3,64.3,83.7,84.1,95.6,95.6
010010010262002,3.3,16.3,4.4,3.3,15.9,4.4,96.7,96.7,83.7,84.1,95.6,95.6
010010020260001,2.1,1.5,4.4,1.3,1.2,4.4,97.9,98.7,98.5,98.8,95.6,95.6
010010020262002,1.1,1.5,4.4,1.1,1.2,4.4,98.9,98.9,98.5,98.8,95.6,95.6
010010030260001,1.4,0.8,4.4,3.6,1.2,4.4,98.6,96.4,99.2,98.8,95.6,95.6
010010030261001,0.4,0.8,4.4,0.4,1.2,4.4,99.6,99.6,99.2,98.8,95.6,95.6
010010030262003,,0.8,4.4,,1.2,4.4,,,99.2,98.8,95.6,95.6
010010030262008,1.4,0.8,4.4,1.4,1.2,4.4,98.6,98.6,99.2,98.8,95.6,95.6
010010040260001,9.5,2.0,4.4,0.0,1.5,4.4,90.5,100.0,98.0,98.5,95.6,95.6
010010040261001,1.0,2.0,4.4,1.4,1.5,4.4,99.0,98.6,98.0,98.5,95.6,95.6
010010040262004,1.1,2.0,4.4,2.1,1.5,4.4,98.9,97.9,98.0,98.5,95.6,95.6
010010040262006,,,,,,,,,98.0,98.5,95.6,95.6
010011720220003,13.6,3.0,4.4,11.4,2.5,4.4,86.4,88.6,97.0,97.5,95.6,95.6
010011720221003,1.5,3.0,4.4,2.3,2.5,4.4,98.5,97.7,97.0,97.5,95.6,95.6
010011720222004,2.4,3.0,4.4,2.4,2.5,4.4,97.6,97.6,97.0,97.5,95.6,95.6
010011720222006,1.8,3.0,4.4,0.0,2.5,4.4,98.2,100.0,97.0,97.5,95.6,95.6
010011720222007,6.6,3.0,4.4,0.0,2.5,4.4,93.4,100.0,97.0,97.5,95.6,95.6
010011720222008,14.3,3.0,4.4,0.0,2.5,4.4,85.7,100.0,97.0,97.5,95.6,95.6
010011720222009,0.0,3.0,4.4,0.0,2.5,4.4,100.0,100.0,97.0,97.5,95.6,95.6
010011720222016,0.0,3.0,4.4,0.0,2.5,4.4,100.0,100.0,97.0,97.5,95.6,95.6
010011720222017,0.0,3.0,4.4,0.0,2.5,4.4,100.0,100.0,97.0,97.5,95.6,95.6
010011720222019,0.9,3.0,4.4,1.1,2.5,4.4,99.1,98.9,97.0,97.5,95.6,95.6
010050010260001,2.1,0.6,4.4,0.0,0.6,4.4,97.9,100.0,99.4,99.4,95.6,95.6
010050010261002,0.5,0.6,4.4,1.0,0.6,4.4,99.5,99.0,99.4,99.4,95.6,95.6
010050010262002,0.0,0.6,4.4,0.0,0.6,4.4,100.0,100.0,99.4,99.4,95.6,95.6
010090150260007,4.8,4.2,4.4,4.6,4.0,4.4,95.2,95.4,95.8,96.0,95.6,95.6
01009015026001C,,,,,,,,,95.8,96.0,95.6,95.6
010090150262003,2.8,4.2,4.4,2.7,4.0,4.4,97.2,97.3,95.8,96.0,95.6,95.6
010090640260003,0.0,2.0,4.4,0.0,2.2,4.4,100.0,100.0,98.0,97.8,95.6,95.6
010090640261001,1.9,2.0,4.4,1.9,2.2,4.4,98.1,98.1,98.0,97.8,95.6,95.6
010090640262001,2.9,2.0,4.4,2.9,2.2,4.4,97.1,97.1,98.0,97.8,95.6,95.6
010092620260002,3.1,3.0,4.4,5.3,2.9,4.4,96.9,94.7,97.0,97.1,95.6,95.6
010092620261002,3.5,3.0,4.4,2.8,2.9,4.4,96.5,97.2,97.0,97.1,95.6,95.6
010092620262001,1.6,3.0,4.4,1.6,2.9,4.4,98.4,98.4,97.0,97.1,95.6,95.6
010690010260001,1.2,0.7,4.4,1.2,0.7,4.4,98.8,98.8,99.3,99.3,95.6,95.6
010690010262004,0.0,0.7,4.4,0.0,0.7,4.4,100.0,100.0,99.3,99.3,95.6,95.6
010690010262005,,,,,,,,,99.3,99.3,95.6,95.6
010690060260001,0.0,0.5,4.4,0.0,0.5,4.4,100.0,100.0,99.5,99.5,95.6,95.6
010690060262002,0.6,0.5,4.4,0.6,0.5,4.4,99.4,99.4,99.5,99.5,95.6,95.6
010690110260001,,1.0,4.4,0.0,1.0,4.4,,100.0,99.0,99.0,95.6,95.6
010690110261001,2.0,1.0,4.4,2.0,1.0,4.4,98.0,98.0,99.0,99.0,95.6,95.6
010690110262003,0.0,1.0,4.4,0.0,1.0,4.4,100.0,100.0,99.0,99.0,95.6,95.6
010690270260001,3.6,1.7,4.4,1.3,2.3,4.4,96.4,98.7,98.3,97.7,95.6,95.6
010690270262002,0.0,1.7,4.4,3.1,2.3,4.4,100.0,96.9,98.3,97.7,95.6,95.6
