distID,DistNum,ValueDIST,districtNAMEdist,countyNAMEdist,districtTYPEdist,districtSIZEdist,gradesSERVEDdist,AdministratorDIST,AddressDIST,cityNAMEdist,StateDIST,ZipDIST,TelephoneDIST,LatitudeDIST,LongitudeDIST,NoteDIST
300771010260000,1010,"Meridian CUSD 101, Pulaski County",Meridian CUSD 101,Pulaski,UNIT,MEDIUM,P-12,Mr. Spencer Byrd,1401 Mounds Rd,Mounds,IL,62964 2325,618342-6778,37.116221,-89.194753,- -
200970050260000,0050,"Carmi-White County CUSD 5, White County",Carmi-White County CUSD 5,White,UNIT,MEDIUM,P-12,Mr. Brad Lee,211 W Robinson St,Carmi,IL,62821 1640,618382-2341,38.08718552,-88.16296172,- -
500820190260000,0190,"Mascoutah CUD 19, Saint Clair County",Mascoutah CUD 19,Saint Clair,UNIT,LARGE,P-12,Dr. Craig A Fiegel,421 W Harnett St,Mascoutah,IL,62258 1362,618566-7414,38.49642195,-89.80463731,- -
130140030260000,0030,"Wesclin CUSD 3, Clinton County",Wesclin CUSD 3,Clinton,UNIT,MEDIUM,P-12,Mrs. Jennifer C. Filyaw,699 Wesclin Rd,Trenton,IL,62293,618224-7583,38.607272,-89.683388,- -
120170010260000,0010,"Hutsonville CUSD 1, Crawford County",Hutsonville CUSD 1,Crawford,UNIT,SMALL,P-12,Mrs. Julie L Kraemer,500 W Clover St,Hutsonville,IL,62433 1017,618563-4912,39.10701011,-87.66692186,- -
030680020260000,0020,"Panhandle CUSD 2, Montgomery County",Panhandle CUSD 2,Montgomery,UNIT,MEDIUM,P-12,Mr. Aaron Hopper,509 N Prairie St,Raymond,IL,62560 4906,217229-4215,39.322024,-89.572809,- -
110150050260000,0050,"Oakland CUSD 5, Coles County",Oakland CUSD 5,Coles,UNIT,SMALL,P-12,Mr. Lance Landeck,310 Teeter St,Oakland,IL,61943 5304,217346-2555,39.655691,-88.026167,- -
340499000250000,9000,"Illinois State Charter, Illinois",Illinois State Charter,Illinois,OTHER,OTHER,K-12,N/A,N/A,N/A,IL,N/A,N/A,39.798455,-89.654816,- -
510840010260000,0010,"Tri City CUSD 1, Sangamon County",Tri City CUSD 1,Sangamon,UNIT,MEDIUM,P-12,Mrs. Jilinda A Larson,324 W Charles St,Buffalo,IL,62515 6267,217364-4811,39.851277,-89.41313796,- -
510652130260000,2130,"Athens CUSD 213, Menard County",Athens CUSD 213,Menard,UNIT,MEDIUM,P-12,Scott Laird,501 Warrior Way,Athens,IL,62613 9473,217636-8761,39.94506,-89.72502,- -
540920040260000,0040,"Georgetown-Ridge Farm CUD 4, Vermilion County",Georgetown-Ridge Farm CUD 4,Vermilion,UNIT,MEDIUM,P-12,Mrs. Jean M Neal,502 W Mulberry St,Georgetown,IL,61846 1846,217662-8488,39.9732197,-87.63865558,- -
510652000260000,2000,"Greenview CUSD 200, Menard County",Greenview CUSD 200,Menard,UNIT,SMALL,P-12,Dr. Janice Kunz,147 E Palmer St,Greenview,IL,62642 1000,217968-2295,40.079495,-89.73906262,- -
480720620020000,0620,"Pleasant Valley SD 62, Peoria County",Pleasant Valley SD 62,Peoria,ELEMENTARY,MEDIUM,P-8,Dr. Allen B Johnson,3314 W Richwoods Blvd,Peoria,IL,61604 1027,309679-0634,40.72884664,-89.64730279,- -
170534380040000,4380,"Saunemin CCSD 438, Livingston County",Saunemin CCSD 438,Livingston,ELEMENTARY,SMALL,P-8,Julie Schmitt,39 Main St,Saunemin,IL,61769 6110,815832-4421,40.8909646,-88.40808222,- -
350590070260000,0070,"Midland CUSD 7, Marshall County",Midland CUSD 7,Marshall,UNIT,MEDIUM,P-12,Rolf A Sivertsen,901 Hilltop Dr,Sparland,IL,61565 9792,309469-2061,41.03129001,-89.46654685,- -
320460010260000,0010,"Momence CUSD 1, Kankakee County",Momence CUSD 1,Kankakee,UNIT,MEDIUM,P-12,Mr. Gary R Miller,400 N Pine St,Momence,IL,60954 1158,815472-3500,41.16654038,-87.66422033,- -
280372290260000,2290,"Kewanee CUSD 229, Henry County",Kewanee CUSD 229,Henry,UNIT,MEDIUM,P-12,Dr. Chris Sullens,1001 N Main St,Kewanee,IL,61443 1361,309853-3341,41.25409908,-89.92487475,- -
56099070C040000,070C,"Laraway CCSD 70C, Will County",Laraway CCSD 70C,Will,ELEMENTARY,MEDIUM,P-8,Mr. Joseph Salmieri,1705 Richards St,Joliet,IL,60433 3127,815727-5115,41.513131,-88.052737,- -
490810370020000,0370,"East Moline SD 37, Rock Island County",East Moline SD 37,Rock Island,ELEMENTARY,LARGE,P-8,Mr. Kristin M Humphries,3451 Morton Dr,East Moline,IL,61244 1921,309792-2887,41.52377136,-90.40359955,- -
280063030260000,3030,"La Moille CUSD 303, Bureau County",La Moille CUSD 303,Bureau,UNIT,SMALL,K-12,Dr. Ricardo Espinoza,801 S Main St,La Moille,IL,61330 9499,815638-2054,41.52432589,-89.28088261,- -
070161240020000,1240,"Evergreen Park ESD 124, Cook County",Evergreen Park ESD 124,Cook,ELEMENTARY,LARGE,P-8,Dr. Robert Machak,2929 W 87th St,Evergreen Park,IL,60805 1036,708423-0950,41.73520732,-87.69603706,- -
190221810040000,1810,"Hinsdale CCSD 181, Dupage County",Hinsdale CCSD 181,Dupage,ELEMENTARY,LARGE,P-8,Dr. Don White,115 55th St,Clarendon Hills,IL,60514 1593,630861-4901,41.78851472,-87.95089938,- -
060161010020000,1010,"Western Springs SD 101, Cook County",Western Springs SD 101,Cook,ELEMENTARY,MEDIUM,P-8,Dr. Brian Barnhart,4225 Wolf Rd,Western Springs,IL,60558 1453,708246-3700,41.81325786,-87.89870893,- -
150162990250000,2990,"City of Chicago SD 299, Cook County",City of Chicago SD 299,Cook,UNIT,LARGE,P-12,Mr. Forrest Claypool,42 W Madison St 2nd Flr,Chicago,IL,60602 4413,773553-2744,41.88208812,-87.62939295,- -
190220940160000,0940,"CHSD 94, Dupage County",CHSD 94,Dupage,HIGH SCHOOL,MEDIUM,9-12,Dr. Douglas Domeracki,157 W Washington St,West Chicago,IL,60185 2802,630876-6210,41.88409304,-88.2067359,- -
050162070170000,2070,"Maine Township HSD 207, Cook County",Maine Township HSD 207,Cook,HIGH SCHOOL,LARGE,6-12,Dr. Kenneth E Wallace,1177 S Dee Rd,Park Ridge,IL,60068 4379,847696-3600,42.0009239,-87.85476637,- -
080083140260000,3140,"West Carroll CUSD 314, Carroll County",West Carroll CUSD 314,Carroll,UNIT,MEDIUM,P-12,Mr. Craig Mathers,642 S East St,Mount Carroll,IL,61053 1459,815244-0207,42.09134536,-89.96800997,- -
310453000260000,3000,"CUSD 300, Kane County",CUSD 300,Kane,UNIT,LARGE,P-12,Mr. Fred Heid,2550 Harnish Dr,Algonquin,IL,60102 6870,847551-8308,42.17082,-88.31874,- -
340491160260000,1160,"Round Lake CUSD 116, Lake County",Round Lake CUSD 116,Lake,UNIT,LARGE,P-12,Dr. Constance Collins,884 W Nippersink Rd,Round Lake,IL,60073,847270-9003,42.35113147,-88.10588317,- -
340491260170000,1260,"Zion-Benton Twp HSD 126, Lake County",Zion-Benton Twp HSD 126,Lake,HIGH SCHOOL,MEDIUM,9-12,Dr. Chris Clark,3901 21st St,Zion,IL,60099 1476,847731-9792,42.45710737,-87.85663814,- -
300020010220000,0010,"Cairo USD 1, Alexander County",Cairo USD 1,Alexander,UNIT,SMALL,P-12,Mrs. Andrea M Evers,4201 Sycamore St,Cairo,IL,62914 1047,618734-4102,37.01961128,-89.18498338,- -
210610380260000,0380,"Joppa-Maple Grove UD 38, Massac County",Joppa-Maple Grove UD 38,Massac,UNIT,SMALL,P-12,Mr. Bill Biggerstaff,PO Box 10,Joppa,IL,62953 0010,618543-9023,37.20848239,-88.84987721,- -
210610010260000,0010,"Massac UD 1, Massac County",Massac UD 1,Massac,UNIT,LARGE,P-12,Mr. Dennis Smith,PO Box 530,Metropolis,IL,62960 0530,618524-9376,37.22609565,-88.71072299,- -
300020050260000,0050,"Egyptian CUSD 5, Alexander County",Egyptian CUSD 5,Alexander,UNIT,MEDIUM,P-12,Mr. Brad Misner,20023 Diswood Rd,Tamms,IL,62988 3234,618776-5306,37.24396717,-89.29748479,- -
300771000260000,1000,"Century CUSD 100, Pulaski County",Century CUSD 100,Pulaski,UNIT,SMALL,K-12,Mrs. Leslie Ann Varble,4721 Shawnee College Rd,Ullin,IL,62992 2201,618845-3447,37.27903893,-89.16670630,- -
210440640020000,0640,"Cypress SD 64, Johnson County",Cypress SD 64,Johnson,ELEMENTARY,SMALL,P-8,Mrs. Kimberly Shoemaker,PO Box 109,Cypress,IL,62923 0109,618657-2525,37.34437665,-89.01470943,- -
300910660220000,0660,"Dongola USD 66, Union County",Dongola USD 66,Union,UNIT,SMALL,P-12,Dr. Paige Maginel,PO Box 190,Dongola,IL,62926 0190,618827-3841,37.36734131,-89.13393350,- -
200760010260000,0010,"Pope Co CUD 1, Pope County",Pope Co CUD 1,Pope,UNIT,MEDIUM,P-12,Mr. Charles Bleyer,125 State Highway 146 W,Golconda,IL,62938 4203,618683-2301,37.38018144,-88.54280758,- -
210441330170000,1330,"Vienna HSD 133, Johnson County",Vienna HSD 133,Johnson,HIGH SCHOOL,SMALL,9-12,Mr. Joshua W Stafford,601 N 1st St,Vienna,IL,62995 1603,618658-4461,37.42225922,-88.89322794,- -
210440550020000,0550,"Vienna SD 55, Johnson County",Vienna SD 55,Johnson,ELEMENTARY,MEDIUM,P-8,Mr. Greg Frehner,PO Box 427,Vienna,IL,62995 0427,618658-8638,37.42599923,-88.87525306,- -
300910430040000,0430,"County of Union Sch Dist No43, Union County",County of Union Sch Dist No43,Union,ELEMENTARY,MEDIUM,P-8,Dr. Keith Reinhardt,309 Cook Ave,Jonesboro,IL,62952 1118,618833-6651,37.44954142,-89.27576062,- -
300910810160000,0810,"Anna Jonesboro CHSD 81, Union County",Anna Jonesboro CHSD 81,Union,HIGH SCHOOL,SMALL,9-12,Mr. Rob Wright,608 S Main St,Anna,IL,62906 1247,618833-8421,37.45643768,-89.25562231,- -
300910370040000,0370,"Anna CCSD 37, Union County",Anna CCSD 37,Union,ELEMENTARY,MEDIUM,P-8,Mr. Charles Goforth,301 S Green St,Anna,IL,62906 1126,618833-6812,37.46064091,-89.25262450,- -
210440430030000,0430,"Buncombe Cons SD 43, Johnson County",Buncombe Cons SD 43,Johnson,ELEMENTARY,SMALL,K-8,Ms. Vicki Tripp,PO Box 40,Buncombe,IL,62912 0040,618658-8830,37.47659140,-89.03917315,- -
