schid,demschoolwhite,enroll2015,enrolldist2015,lowinc2015,act2015school,actscore2015district,actscore2015state,percmin2015
010010010260001,97.6,206,517,39.3,18.4,18.4,20.5,2.4000000000000057
010010010262002,95.5,311,517,54.7,,18.4,20.5,4.5
010010020260001,98.3,296,653,34.1,20.6,20.6,20.5,1.7000000000000028
010010020262002,95.5,357,653,37.8,,20.6,20.5,4.5
010010030260001,96.1,283,862,47.3,19.6,19.6,20.5,3.9000000000000057
010010030261001,96.3,242,862,52.1,,19.6,20.5,3.700000000000003
010010030262003,97.9,191,862,50.8,,19.6,20.5,2.0999999999999943
010010030262008,97.3,146,862,52.7,,19.6,20.5,2.700000000000003
010010040260001,97.8,232,677,25.9,19.4,19.4,20.5,2.200000000000003
010010040261001,98.6,215,677,34.9,,19.4,20.5,1.4000000000000057
010010040262004,97.9,144,677,42.4,,19.4,20.5,2.0999999999999943
010010040262006,95.3,86,677,39.5,,19.4,20.5,4.700000000000003
010011720220003,84.2,"1,417","6,868",48.1,19.5,19.5,20.5,15.799999999999997
010011720221003,83.4,"1,431","6,868",56.4,,19.5,20.5,16.599999999999994
010011720222004,83.1,356,"6,868",77.5,,19.5,20.5,16.900000000000006
010011720222006,84.7,255,"6,868",74.1,,19.5,20.5,15.299999999999997
010011720222007,82.8,326,"6,868",50.3,,19.5,20.5,17.200000000000003
010011720222008,75.0,192,"6,868",89.6,,19.5,20.5,25.0
010011720222009,80.4,398,"6,868",50.8,,19.5,20.5,19.599999999999994
010011720222016,89.5,256,"6,868",38.7,,19.5,20.5,10.5
010011720222017,60.7,275,"6,868",96.4,,19.5,20.5,39.3
010011720222019,81.2,"1,460","6,868",63.1,,19.5,20.5,18.799999999999997
010050010260001,97.3,221,779,36.2,20.6,20.6,20.5,2.700000000000003
010050010261002,94.6,203,779,47.8,,20.6,20.5,5.400000000000006
010050010262002,94.6,355,779,55.5,,20.6,20.5,5.400000000000006
010090150260007,44.5,848,"1,582",74.1,17.7,17.2,20.5,55.5
01009015026001C,59.3,27,"1,582",77.8,14.8,17.2,20.5,40.7
010090150262003,34.8,551,"1,582",84.0,,17.2,20.5,65.2
010090640260003,94.0,83,297,51.8,19.6,19.6,20.5,6.0
010090640261001,96.0,50,297,46.0,,19.6,20.5,4.0
010090640262001,95.7,164,297,62.8,,19.6,20.5,4.299999999999997
010092620260002,91.0,134,471,44.0,20.0,20.0,20.5,9.0
010092620261002,96.5,142,471,47.9,,20.0,20.5,3.5
010092620262001,93.3,195,471,50.3,,20.0,20.5,6.700000000000003
010690010260001,95.5,155,309,45.2,18.5,18.5,20.5,4.5
010690010262004,96.6,87,309,40.2,,18.5,20.5,3.4000000000000057
010690010262005,95.5,67,309,29.9,,18.5,20.5,4.5
010690060260001,100.0,109,387,33.9,18.8,18.8,20.5,0.0
010690060262002,97.8,278,387,38.5,,18.8,20.5,2.200000000000003
010690110260001,100.0,71,244,52.1,18.4,18.4,20.5,0.0
010690110261001,98.1,54,244,64.8,,18.4,20.5,1.9000000000000057
